Periood;time;GLN;TIM;D04
01.01.2023;0:00:00;2,2;0,5;10,6
01.01.2023;1:00:00;2,1;0,6;12,3
01.01.2023;2:00:00;2,1;0,7;12
01.01.2023;3:00:00;2,2;0,5;10,9
01.01.2023;4:00:00;2,1;0,6;11,5
01.01.2023;5:00:00;2,2;0,6;11,4
01.01.2023;6:00:00;2,1;0,6;11,3
01.01.2023;7:00:00;2,2;0,6;11,4
01.01.2023;8:00:00;2,1;0,6;15,7
01.01.2023;9:00:00;2,1;0,6;16,6
01.01.2023;10:00:00;3,7;0,6;18,3
01.01.2023;11:00:00;2,1;0,6;17,5
01.01.2023;12:00:00;2,2;0,6;17,3
01.01.2023;13:00:00;2,2;0,6;19
01.01.2023;14:00:00;2,2;0,6;14,8
01.01.2023;15:00:00;2,1;1,6;20,3
01.01.2023;16:00:00;2,3;0,6;18,5
01.01.2023;17:00:00;7,9;0,6;20,3
01.01.2023;18:00:00;7,4;0,6;18,9
01.01.2023;19:00:00;2,1;0,6;19
01.01.2023;20:00:00;2,1;0,6;22,2
01.01.2023;21:00:00;2,2;0,6;22
01.01.2023;22:00:00;2,1;0,6;19,6
01.01.2023;23:00:00;2,2;0,6;17,9
02.01.2023;0:00:00;2,1;0,6;14
02.01.2023;1:00:00;2,2;0,6;11,9
02.01.2023;2:00:00;3,6;0,7;11,4
02.01.2023;3:00:00;2,2;0,5;10,8
02.01.2023;4:00:00;2,1;0,6;11
02.01.2023;5:00:00;2,1;0,6;11,1
02.01.2023;6:00:00;2,2;0,6;11,9
02.01.2023;7:00:00;2,1;0,6;13,4
02.01.2023;8:00:00;2,2;0,6;15,2
02.01.2023;9:00:00;2,2;0,6;16,3
02.01.2023;10:00:00;2,2;0,6;14,5
02.01.2023;11:00:00;2,1;0,6;15,1
02.01.2023;12:00:00;2,2;0,6;21,3
02.01.2023;13:00:00;2,1;0,6;19
02.01.2023;14:00:00;2,2;0,6;19,2
02.01.2023;15:00:00;2,1;0,6;16,9
02.01.2023;16:00:00;2,3;0,7;19,6
02.01.2023;17:00:00;3,3;0,6;23,3
02.01.2023;18:00:00;3,2;0,6;20,6
02.01.2023;19:00:00;2,6;0,6;23,4
02.01.2023;20:00:00;2,2;0,6;25,1
02.01.2023;21:00:00;2,1;0,6;21,3
02.01.2023;22:00:00;2,1;0,6;21,9
02.01.2023;23:00:00;2,2;0,6;17,6
03.01.2023;0:00:00;2,1;0,6;12,7
03.01.2023;1:00:00;2,1;0,6;10,4
03.01.2023;2:00:00;2,1;0,6;9,6
03.01.2023;3:00:00;2,1;0,6;9,4
03.01.2023;4:00:00;2,2;0,6;9,4
03.01.2023;5:00:00;2,1;0,6;9,9
03.01.2023;6:00:00;2,1;0,6;11,2
03.01.2023;7:00:00;2,1;0,6;11,9
03.01.2023;8:00:00;2,2;0,6;15,8
03.01.2023;9:00:00;2,1;0,6;16,7
03.01.2023;10:00:00;2,6;0,6;18,7
03.01.2023;11:00:00;3,2;0,6;18,6
03.01.2023;12:00:00;2,2;0,6;17,2
03.01.2023;13:00:00;2,2;0,6;19,7
03.01.2023;14:00:00;2,1;0,6;19,1
03.01.2023;15:00:00;2,2;0,6;20,3
03.01.2023;16:00:00;2,1;0,6;19,7
03.01.2023;17:00:00;2,2;0,6;25,9
03.01.2023;18:00:00;3,3;0,6;24,7
03.01.2023;19:00:00;2,1;0,5;26,4
03.01.2023;20:00:00;2,2;0,6;25,7
03.01.2023;21:00:00;2,2;0,7;23,1
03.01.2023;22:00:00;2,1;0,5;23,7
03.01.2023;23:00:00;2,1;0,6;20,5
04.01.2023;0:00:00;2,1;0,6;13,9
04.01.2023;1:00:00;2,1;0,6;12,7
04.01.2023;2:00:00;2,2;0,6;11,9
04.01.2023;3:00:00;3,6;0,6;11
04.01.2023;4:00:00;2,1;0,6;11
04.01.2023;5:00:00;2,1;0,6;11,2
04.01.2023;6:00:00;2,2;0,6;11,4
04.01.2023;7:00:00;2,1;0,6;12,9
04.01.2023;8:00:00;2,2;0,6;15
04.01.2023;9:00:00;2,2;0,6;17,7
04.01.2023;10:00:00;2,1;0,6;20,7
04.01.2023;11:00:00;2,3;0,6;21,6
04.01.2023;12:00:00;4;0,6;19,1
04.01.2023;13:00:00;6,8;0,6;19,6
04.01.2023;14:00:00;9,5;0,6;22,4
04.01.2023;15:00:00;8,9;0,7;24,4
04.01.2023;16:00:00;10,1;0,5;22,2
04.01.2023;17:00:00;11,4;0,6;20,3
04.01.2023;18:00:00;12,1;0,6;24
04.01.2023;19:00:00;12,7;0,6;21,8
04.01.2023;20:00:00;12,1;0,6;26,4
04.01.2023;21:00:00;12,2;0,6;23,7
04.01.2023;22:00:00;3,6;0,6;18,4
04.01.2023;23:00:00;2,3;0,6;17,8
05.01.2023;0:00:00;2,2;0,6;14,5
05.01.2023;1:00:00;2,3;0,6;11,1
05.01.2023;2:00:00;2,2;0,6;10,3
05.01.2023;3:00:00;2,3;0,6;10,2
05.01.2023;4:00:00;2,2;0,6;10,5
05.01.2023;5:00:00;2,2;0,6;10,1
05.01.2023;6:00:00;2,3;0,6;10,4
05.01.2023;7:00:00;3,6;0,6;12,1
05.01.2023;8:00:00;2,4;0,6;16,2
05.01.2023;9:00:00;2,3;0,6;18,3
05.01.2023;10:00:00;2,3;0,6;17,5
05.01.2023;11:00:00;2,2;0,6;19,4
05.01.2023;12:00:00;3,4;0,7;22,4
05.01.2023;13:00:00;7,4;0,9;19,5
05.01.2023;14:00:00;5,5;1,6;19,2
05.01.2023;15:00:00;3;0,6;22,3
05.01.2023;16:00:00;2,2;0,6;23,6
05.01.2023;17:00:00;2,2;0,6;25,6
05.01.2023;18:00:00;2,2;0,6;29,9
05.01.2023;19:00:00;2,2;0,6;24
05.01.2023;20:00:00;2,2;0,6;28,1
05.01.2023;21:00:00;2,2;0,6;26,2
05.01.2023;22:00:00;2,2;0,6;22,2
05.01.2023;23:00:00;3,7;0,6;17,6
06.01.2023;0:00:00;2,2;0,6;15,4
06.01.2023;1:00:00;2,2;0,7;13,9
06.01.2023;2:00:00;2,2;0,5;12,4
06.01.2023;3:00:00;2,1;0,6;12,3
06.01.2023;4:00:00;2,2;0,6;12,2
06.01.2023;5:00:00;2,2;0,6;12,2
06.01.2023;6:00:00;2,2;0,6;11,2
06.01.2023;7:00:00;3;0,6;11,6
06.01.2023;8:00:00;2,5;0,6;16,6
06.01.2023;9:00:00;2,1;0,6;18,8
06.01.2023;10:00:00;2,3;0,6;16,2
06.01.2023;11:00:00;3,7;0,6;18,3
06.01.2023;12:00:00;2,9;0,6;25
06.01.2023;13:00:00;2,2;0,6;20
06.01.2023;14:00:00;2,2;0,6;20,6
06.01.2023;15:00:00;3,5;0,6;18,4
06.01.2023;16:00:00;2,4;0,6;23,2
06.01.2023;17:00:00;2,3;0,6;24,1
06.01.2023;18:00:00;2,2;0,6;21,9
06.01.2023;19:00:00;2,2;0,6;24,2
06.01.2023;20:00:00;2,2;0,6;25,2
06.01.2023;21:00:00;2,2;0,6;23,7
06.01.2023;22:00:00;2,2;0,6;23,4
06.01.2023;23:00:00;2,2;0,6;19,8
07.01.2023;0:00:00;2,2;0,6;15,5
07.01.2023;1:00:00;2,3;0,6;12,6
07.01.2023;2:00:00;2,2;0,6;12,1
07.01.2023;3:00:00;2,2;0,6;11,3
07.01.2023;4:00:00;2,3;0,6;11
07.01.2023;5:00:00;2,2;0,6;11,1
07.01.2023;6:00:00;2,2;0,6;11,3
07.01.2023;7:00:00;3;0,6;13,1
07.01.2023;8:00:00;3,7;0,6;18,3
07.01.2023;9:00:00;2,7;0,6;17,2
07.01.2023;10:00:00;2,3;0,6;22,2
07.01.2023;11:00:00;2,2;0,6;20,4
07.01.2023;12:00:00;2,3;0,6;24,2
07.01.2023;13:00:00;7,3;0,6;24,9
07.01.2023;14:00:00;7,7;4,9;21,9
07.01.2023;15:00:00;12;13,1;30,4
07.01.2023;16:00:00;13,1;13,1;25,8
07.01.2023;17:00:00;13,4;10,1;27,1
07.01.2023;18:00:00;13,6;6,4;25,6
07.01.2023;19:00:00;15,9;4,4;27,5
07.01.2023;20:00:00;14;3,2;28,3
07.01.2023;21:00:00;11,5;2,6;28,9
07.01.2023;22:00:00;11,6;1,9;25,5
07.01.2023;23:00:00;11,9;1,7;21,3
08.01.2023;0:00:00;10,6;1,4;17,6
08.01.2023;1:00:00;9,5;1,4;15,9
08.01.2023;2:00:00;4,2;1,3;14,5
08.01.2023;3:00:00;2,2;1,2;13,3
08.01.2023;4:00:00;2,2;1,4;14
08.01.2023;5:00:00;2,3;1,2;13
08.01.2023;6:00:00;2,2;1,2;12
08.01.2023;7:00:00;2,2;1,3;11,9
08.01.2023;8:00:00;2,3;1,2;13,8
08.01.2023;9:00:00;3,5;1,2;17,4
08.01.2023;10:00:00;2,5;1,3;19,5
08.01.2023;11:00:00;3,2;1,2;23,7
08.01.2023;12:00:00;2,3;1,3;23,3
08.01.2023;13:00:00;2,2;1,2;22,2
08.01.2023;14:00:00;2,2;1,3;21,5
08.01.2023;15:00:00;2,3;1,2;24,4
08.01.2023;16:00:00;2,3;1,2;27,3
08.01.2023;17:00:00;2,2;1,3;31,5
08.01.2023;18:00:00;2,2;1,2;31,3
08.01.2023;19:00:00;2,2;1,2;25,4
08.01.2023;20:00:00;5,6;1,3;29,6
08.01.2023;21:00:00;10,1;1,3;28,1
08.01.2023;22:00:00;10,1;1,2;20,9
08.01.2023;23:00:00;3,7;1,2;19,5
09.01.2023;0:00:00;2,2;1,2;14,9
09.01.2023;1:00:00;3,7;1,3;13,7
09.01.2023;2:00:00;2,2;1,2;11,7
09.01.2023;3:00:00;2,2;1,3;11,8
09.01.2023;4:00:00;2,2;1,3;12,3
09.01.2023;5:00:00;2,1;1,2;12
09.01.2023;6:00:00;2,2;1,2;13,7
09.01.2023;7:00:00;2,2;1,3;16,7
09.01.2023;8:00:00;2,2;1,2;17,1
09.01.2023;9:00:00;2,2;1,2;18
09.01.2023;10:00:00;2,3;1,3;19,4
09.01.2023;11:00:00;8,4;1,2;22,5
09.01.2023;12:00:00;4,5;1,3;17,7
09.01.2023;13:00:00;2,4;1,2;18,9
09.01.2023;14:00:00;2,4;1,3;23,4
09.01.2023;15:00:00;2,4;1,2;20,5
09.01.2023;16:00:00;2,5;1,3;22,8
09.01.2023;17:00:00;3,2;1,3;27
09.01.2023;18:00:00;3,2;1,3;27
09.01.2023;19:00:00;2,4;1,2;27,4
09.01.2023;20:00:00;3,4;1,2;28,9
09.01.2023;21:00:00;2,6;1,3;24,2
09.01.2023;22:00:00;2,5;1,3;24,4
