datetime,temp,humidity,precip,windspeed,cloudcover
2023-08-01T00:00:00,14,87.89,0,3.6,0
2023-08-01T01:00:00,13,93.7,0,3.6,27.5
2023-08-01T02:00:00,13,87.85,0,5.4,17.6
2023-08-01T03:00:00,12.1,93.63,0,5.4,53.6
2023-08-01T04:00:00,12,93.64,0,5.4,87.7
2023-08-01T05:00:00,13,93.64,0.003,7.6,97.7
2023-08-01T06:00:00,13,93.66,0.156,11.1,1.8
2023-08-01T07:00:00,13,93.73,0,9.4,50.6
2023-08-01T08:00:00,14,93.79,2.864,14.6,29.8
2023-08-01T09:00:00,14.1,93.71,0.028,16.3,50.6
2023-08-01T10:00:00,15.1,93.67,0,16.5,50.6
2023-08-01T11:00:00,17,88.07,0.193,14.6,50.6
2023-08-01T12:00:00,17,87.96,0.006,16.5,50.6
2023-08-01T13:00:00,19,82.74,0,16.5,89.6
2023-08-01T14:00:00,21,73.25,0.966,22.1,89.3
2023-08-01T15:00:00,20,77.98,0.055,18.2,89.5
2023-08-01T16:00:00,19,82.9,0.002,22,89.3
2023-08-01T17:00:00,19.1,88.08,0.386,14.7,50.3
2023-08-01T18:00:00,20,82.79,0.02,16.4,29.8
2023-08-01T19:00:00,20,82.9,0,14.7,50.6
2023-08-01T20:00:00,19,88.06,0,16.5,89.3
2023-08-01T21:00:00,18,88.06,0.017,14.6,50.6
2023-08-01T22:00:00,18,88.18,0.003,14.6,90
2023-08-01T23:00:00,18,88.24,0.036,14.6,1.7
2023-08-02T00:00:00,17,93.88,0.106,12.9,1.7
2023-08-02T01:00:00,17,93.9,0,16.4,1.6
2023-08-02T02:00:00,17,93.89,0.023,16.4,1.7
2023-08-02T03:00:00,17,93.79,0.515,23.8,90
2023-08-02T04:00:00,17,93.76,0,18.2,90
2023-08-02T05:00:00,17,93.77,0.004,13,29.8
2023-08-02T06:00:00,17,93.76,0.004,14.7,50.6
2023-08-02T07:00:00,18,88.17,0,14.7,50.6
2023-08-02T08:00:00,18,88.2,0.004,18.2,89.6
2023-08-02T09:00:00,17.1,99.74,0.101,22.1,89.6
2023-08-02T10:00:00,19,88.32,0,18.2,89.6
2023-08-02T11:00:00,19,88.27,0.011,18.2,99.9
2023-08-02T12:00:00,19,88.13,0.791,14.7,89.6
2023-08-02T13:00:00,19,88.02,0,18.2,50.6
2023-08-02T14:00:00,20,82.73,0.001,18.2,50.5
2023-08-02T15:00:00,20,77.67,0.097,20.3,50.5
2023-08-02T16:00:00,21,73.22,0,18.2,50.5
2023-08-02T17:00:00,20,73.06,0,16.3,89.2
2023-08-02T18:00:00,20,77.85,0.017,14.7,65
2023-08-02T19:00:00,21,73.22,0,16.4,50.4
2023-08-02T20:00:00,20,82.72,0,14.6,89.4
2023-08-02T21:00:00,19,88.06,0.388,12.8,28.7
2023-08-02T22:00:00,18,88.17,0,11,28.8
2023-08-02T23:00:00,17,93.8,0,9.2,30.6
2023-08-03T00:00:00,17,93.81,0,9.3,33.6
2023-08-03T01:00:00,17,93.89,0.003,9.3,49.6
2023-08-03T02:00:00,16,99.92,0,7.6,49.4
2023-08-03T03:00:00,16,93.9,0,7.6,49.5
2023-08-03T04:00:00,15,99.94,0,7.6,49.7
2023-08-03T05:00:00,15,99.9,0,7.6,49.8
2023-08-03T06:00:00,15,99.79,0,9.3,99.8
2023-08-03T07:00:00,15,99.84,0,9.3,89.6
2023-08-03T08:00:00,16,99.7,0,9.4,29.8
2023-08-03T09:00:00,17.1,93.51,8.695,12.8,29.8
2023-08-03T10:00:00,19,82.6,0,14.7,48.2
2023-08-03T11:00:00,20,77.72,0,14.7,66.8
2023-08-03T12:00:00,20,77.78,0,18.2,80.8
2023-08-03T13:00:00,20,77.72,0.001,22.1,87.5
2023-08-03T14:00:00,21,78.03,0.005,14.6,90.2
2023-08-03T15:00:00,20,83.09,0.595,14.6,50.6
2023-08-03T16:00:00,19,88.32,0.036,11.1,29.8
2023-08-03T17:00:00,19,88.31,0.049,16.4,29.9
2023-08-03T18:00:00,18,88.21,0.978,20.3,89.6
2023-08-03T19:00:00,18,93.88,0.046,16.4,50.6
2023-08-03T20:00:00,17.1,93.83,4.865,11.1,99.7
2023-08-03T21:00:00,17.1,99.82,3.88,7.6,50.5
2023-08-03T22:00:00,16.1,99.87,0,7.6,29.5
2023-08-03T23:00:00,16,99.95,0,9.3,29.5
2023-08-04T00:00:00,16,99.94,0,9.3,56.6
2023-08-04T01:00:00,16,99.93,0,9.3,29.2
2023-08-04T02:00:00,16,99.93,0.023,9.3,50.7
2023-08-04T03:00:00,16,99.91,0.016,9.3,50.6
2023-08-04T04:00:00,17,93.92,0.078,12.9,99.6
2023-08-04T05:00:00,17,88.25,0.009,12.9,88.8
2023-08-04T06:00:00,16,93.86,0,11.2,49.4
2023-08-04T07:00:00,16,93.83,0,12.9,50.3
2023-08-04T08:00:00,17,93.81,0.386,16.4,89.5
2023-08-04T09:00:00,17,93.77,0,22,89.6
2023-08-04T10:00:00,18,88.11,0,18.2,89.6
2023-08-04T11:00:00,19,82.9,0.106,18.2,89.6
2023-08-04T12:00:00,19,82.78,0,18.2,89.5
2023-08-04T13:00:00,19,82.74,0.002,23.8,89.6
2023-08-04T14:00:00,21,73.38,5.835,22.1,89.5
2023-08-04T15:00:00,19,87.88,0,27.4,89.6
2023-08-04T16:00:00,19,77.73,0,29.2,89.6
2023-08-04T17:00:00,20,73.22,2.903,22.2,89.6
2023-08-04T18:00:00,18,88.05,0.016,20.5,89.6
2023-08-04T19:00:00,18,88.07,0,22.2,89.5
2023-08-04T20:00:00,17.1,93.62,0.966,20.5,99.9
2023-08-04T21:00:00,18,88.03,0.031,22.2,99.9
2023-08-04T22:00:00,18,88.04,0,16.5,89.6
2023-08-04T23:00:00,18,88.06,0,14.7,29.7
2023-08-05T00:00:00,17,93.69,0,14.8,29.6
